ID;period_first_selected;selected_for_201804;size_band;size;newly_selected_month
633;201804;Y;6;05-Sep;Apr
634;201801;Y;6;05-Sep;Jan
635;201801;Y;1;0-4;Jan
636;201801;Y;1;0-4;Jan
637;201801;Y;6;05-Sep;Jan
638;201803;Y;1;0-4;Mar
639;201804;Y;1;0-4;Apr
640;201801;Y;6;05-Sep;Jan
641;201801;Y;6;05-Sep;Jan
642;201804;Y;6;05-Sep;Apr
643;201802;Y;6;05-Sep;Feb
644;201801;Y;7;Oct-19;Jan
645;201802;Y;1;0-4;Feb
646;201801;Y;6;05-Sep;Jan
647;201804;Y;1;0-4;Apr
648;201801;Y;6;05-Sep;Jan
649;201804;Y;6;05-Sep;Apr
650;201804;Y;6;05-Sep;Apr
651;201803;Y;6;05-Sep;Mar
652;201802;Y;1;0-4;Feb
653;201802;Y;1;0-4;Feb
654;201801;Y;1;0-4;Jan
655;201801;Y;1;0-4;Jan
656;201801;Y;6;05-Sep;Jan
657;201804;Y;1;0-4;Apr
658;201803;Y;1;0-4;Mar
659;201804;Y;6;05-Sep;Apr
660;201804;Y;1;0-4;Apr
661;201804;Y;1;0-4;Apr
662;201801;Y;1;0-4;Jan
663;201804;Y;1;0-4;Apr
664;201802;Y;1;0-4;Feb
665;201803;Y;6;05-Sep;Mar
666;201804;Y;1;0-4;Apr
667;201803;Y;6;05-Sep;Mar
668;201801;Y;7;Oct-19;Jan
669;201803;Y;1;0-4;Mar
670;201801;Y;6;05-Sep;Jan
671;201801;Y;6;05-Sep;Jan
672;201802;Y;6;05-Sep;Feb
673;201803;Y;1;0-4;Mar
674;201801;Y;1;0-4;Jan
675;201803;Y;1;0-4;Mar
676;201803;Y;1;0-4;Mar
677;201801;Y;6;05-Sep;Jan
678;201803;Y;6;05-Sep;Mar
679;201801;Y;7;Oct-19;Jan
680;201803;Y;6;05-Sep;Mar
681;201804;Y;6;05-Sep;Apr
682;201801;Y;7;Oct-19;Jan
683;201803;Y;6;05-Sep;Mar
684;201801;Y;6;05-Sep;Jan
685;201803;Y;1;0-4;Mar
686;201803;Y;1;0-4;Mar
687;201801;Y;1;0-4;Jan
688;201804;Y;1;0-4;Apr
689;201801;Y;6;05-Sep;Jan
690;201801;Y;6;05-Sep;Jan
691;201801;Y;6;05-Sep;Jan
692;201802;Y;6;05-Sep;Feb
693;201803;Y;7;Oct-19;Mar
694;201802;Y;1;0-4;Feb
695;201801;Y;6;05-Sep;Jan
696;201802;Y;6;05-Sep;Feb
697;201803;Y;1;0-4;Mar
698;201801;Y;7;Oct-19;Jan
699;201801;Y;6;05-Sep;Jan
700;201804;Y;7;Oct-19;Apr
701;201801;Y;6;05-Sep;Jan
702;201801;Y;1;0-4;Jan
703;201803;Y;7;Oct-19;Mar
704;201801;Y;6;05-Sep;Jan
705;201804;Y;1;0-4;Apr
706;201803;Y;1;0-4;Mar
707;201804;Y;1;0-4;Apr
708;201803;Y;1;0-4;Mar
709;201803;Y;7;Oct-19;Mar
710;201801;Y;6;05-Sep;Jan
711;201802;Y;1;0-4;Feb
712;201804;Y;6;05-Sep;Apr
713;201802;Y;1;0-4;Feb
714;201802;Y;1;0-4;Feb
715;201803;Y;6;05-Sep;Mar
716;201801;Y;1;0-4;Jan
717;201801;Y;1;0-4;Jan
718;201803;Y;1;0-4;Mar
719;201801;Y;6;05-Sep;Jan
720;201801;Y;6;05-Sep;Jan
721;201801;Y;1;0-4;Jan
722;201801;Y;1;0-4;Jan
723;201801;Y;6;05-Sep;Jan
724;201804;Y;1;0-4;Apr
725;201802;Y;6;05-Sep;Feb
726;201801;Y;6;05-Sep;Jan
727;201802;Y;1;0-4;Feb
728;201801;Y;6;05-Sep;Jan
729;201801;Y;6;05-Sep;Jan
730;201803;Y;6;05-Sep;Mar
731;201804;Y;1;0-4;Apr
732;201802;Y;1;0-4;Feb
733;201801;Y;6;05-Sep;Jan
734;201803;Y;7;Oct-19;Mar
735;201802;Y;6;05-Sep;Feb
736;201802;Y;6;05-Sep;Feb
737;201801;Y;6;05-Sep;Jan
738;201801;Y;1;0-4;Jan
739;201801;Y;6;05-Sep;Jan
740;201804;Y;6;05-Sep;Apr
741;201803;Y;6;05-Sep;Mar
742;201802;Y;1;0-4;Feb
743;201801;Y;6;05-Sep;Jan
744;201801;Y;7;Oct-19;Jan
745;201803;Y;1;0-4;Mar
746;201801;Y;6;05-Sep;Jan
747;201801;Y;6;05-Sep;Jan
748;201801;Y;1;0-4;Jan
749;201801;Y;6;05-Sep;Jan
750;201803;Y;1;0-4;Mar
751;201801;Y;6;05-Sep;Jan
752;201801;Y;1;0-4;Jan
753;201801;Y;1;0-4;Jan
754;201802;Y;6;05-Sep;Feb
755;201801;Y;1;0-4;Jan
756;201803;Y;1;0-4;Mar
757;201803;Y;1;0-4;Mar
758;201802;Y;1;0-4;Feb
759;201804;Y;1;0-4;Apr
760;201804;Y;1;0-4;Apr
761;201801;Y;6;05-Sep;Jan
762;201802;Y;1;0-4;Feb
763;201801;Y;1;0-4;Jan
764;201804;Y;1;0-4;Apr
765;201803;Y;1;0-4;Mar
766;201804;Y;1;0-4;Apr
767;201802;Y;1;0-4;Feb
768;201803;Y;1;0-4;Mar
769;201803;Y;7;Oct-19;Mar
770;201801;Y;7;Oct-19;Jan
771;201801;Y;1;0-4;Jan
772;201804;Y;1;0-4;Apr
773;201803;Y;6;05-Sep;Mar
774;201803;Y;1;0-4;Mar
775;201804;Y;1;0-4;Apr
776;201803;Y;1;0-4;Mar
777;201801;Y;1;0-4;Jan
778;201803;Y;6;05-Sep;Mar
779;201801;Y;7;Oct-19;Jan
780;201803;Y;1;0-4;Mar
781;201803;Y;1;0-4;Mar
782;201804;Y;1;0-4;Apr
783;201801;Y;1;0-4;Jan
784;201801;Y;1;0-4;Jan
785;201801;Y;6;05-Sep;Jan
786;201804;Y;6;05-Sep;Apr
787;201804;Y;1;0-4;Apr
788;201803;Y;1;0-4;Mar
789;201803;Y;6;05-Sep;Mar
790;201804;Y;1;0-4;Apr
791;201804;Y;1;0-4;Apr
792;201801;Y;7;Oct-19;Jan
793;201804;Y;6;05-Sep;Apr
794;201801;Y;1;0-4;Jan
795;201804;Y;1;0-4;Apr
796;201802;Y;1;0-4;Feb
797;201802;Y;1;0-4;Feb
798;201801;Y;6;05-Sep;Jan
799;201802;Y;7;Oct-19;Feb
800;201801;Y;6;05-Sep;Jan
801;201801;Y;6;05-Sep;Jan
802;201803;Y;6;05-Sep;Mar
803;201803;Y;6;05-Sep;Mar
804;201801;Y;6;05-Sep;Jan
805;201801;Y;1;0-4;Jan
806;201804;Y;6;05-Sep;Apr
807;201804;Y;6;05-Sep;Apr
808;201801;Y;6;05-Sep;Jan
809;201804;Y;6;05-Sep;Apr
810;201802;Y;1;0-4;Feb
811;201804;Y;7;Oct-19;Apr
812;201801;Y;1;0-4;Jan
813;201801;Y;7;Oct-19;Jan
814;201803;Y;1;0-4;Mar
815;201804;Y;6;05-Sep;Apr
816;201804;Y;1;0-4;Apr
817;201802;Y;6;05-Sep;Feb
818;201804;Y;1;0-4;Apr
819;201803;Y;6;05-Sep;Mar
820;201801;Y;6;05-Sep;Jan
821;201801;Y;7;Oct-19;Jan
822;201803;Y;6;05-Sep;Mar
823;201803;Y;1;0-4;Mar
824;201804;Y;1;0-4;Apr
825;201801;Y;1;0-4;Jan
826;201802;Y;1;0-4;Feb
827;201801;Y;6;05-Sep;Jan
828;201801;Y;6;05-Sep;Jan
829;201801;Y;6;05-Sep;Jan
830;201801;Y;7;Oct-19;Jan
831;201804;Y;6;05-Sep;Apr
832;201802;Y;6;05-Sep;Feb
833;201802;Y;1;0-4;Feb
834;201804;Y;1;0-4;Apr
835;201801;Y;7;Oct-19;Jan
836;201803;Y;6;05-Sep;Mar
837;201802;Y;1;0-4;Feb
838;201803;Y;6;05-Sep;Mar
839;201804;Y;1;0-4;Apr
840;201803;Y;1;0-4;Mar
841;201801;Y;6;05-Sep;Jan
842;201804;Y;6;05-Sep;Apr
843;201803;Y;6;05-Sep;Mar
844;201802;Y;1;0-4;Feb
845;201804;Y;6;05-Sep;Apr
846;201804;Y;1;0-4;Apr
847;201804;Y;1;0-4;Apr
848;201803;Y;6;05-Sep;Mar
849;201804;Y;6;05-Sep;Apr
850;201803;Y;1;0-4;Mar
851;201803;Y;1;0-4;Mar
852;201802;Y;1;0-4;Feb
853;201804;Y;1;0-4;Apr
854;201804;Y;6;05-Sep;Apr
855;201804;Y;6;05-Sep;Apr
856;201802;Y;1;0-4;Feb
857;201802;Y;1;0-4;Feb
858;201802;Y;1;0-4;Feb
859;201802;Y;1;0-4;Feb
860;201802;Y;1;0-4;Feb
861;201801;Y;6;05-Sep;Jan
862;201804;Y;1;0-4;Apr
863;201801;Y;7;Oct-19;Jan
864;201803;Y;1;0-4;Mar
865;201803;Y;1;0-4;Mar
866;201801;Y;1;0-4;Jan
867;201803;Y;1;0-4;Mar
868;201804;Y;6;05-Sep;Apr
869;201801;Y;6;05-Sep;Jan
870;201801;Y;6;05-Sep;Jan
871;201801;Y;6;05-Sep;Jan
872;201801;Y;1;0-4;Jan
873;201804;Y;1;0-4;Apr
874;201802;Y;1;0-4;Feb
875;201802;Y;1;0-4;Feb
876;201804;Y;1;0-4;Apr
877;201804;Y;1;0-4;Apr
878;201804;Y;1;0-4;Apr
879;201803;Y;1;0-4;Mar
880;201802;Y;1;0-4;Feb
881;201801;Y;1;0-4;Jan
882;201803;Y;1;0-4;Mar
883;201804;Y;6;05-Sep;Apr
884;201803;Y;1;0-4;Mar
885;201801;Y;6;05-Sep;Jan
886;201803;Y;1;0-4;Mar
887;201801;Y;7;Oct-19;Jan
888;201804;Y;7;Oct-19;Apr
889;201801;Y;6;05-Sep;Jan
890;201801;Y;6;05-Sep;Jan
891;201801;Y;1;0-4;Jan
892;201801;Y;6;05-Sep;Jan
893;201801;Y;6;05-Sep;Jan
894;201801;Y;7;Oct-19;Jan
895;201803;Y;1;0-4;Mar
896;201804;Y;1;0-4;Apr
897;201804;Y;1;0-4;Apr
898;201803;Y;1;0-4;Mar
899;201803;Y;1;0-4;Mar
900;201802;Y;1;0-4;Feb
901;201801;Y;1;0-4;Jan
902;201802;Y;1;0-4;Feb
903;201801;Y;1;0-4;Jan
904;201804;Y;1;0-4;Apr
905;201804;Y;6;05-Sep;Apr
906;201801;Y;1;0-4;Jan
907;201803;Y;1;0-4;Mar
908;201801;Y;1;0-4;Jan
909;201801;Y;7;Oct-19;Jan
910;201801;Y;6;05-Sep;Jan
911;201804;Y;1;0-4;Apr
912;201801;Y;6;05-Sep;Jan
913;201802;Y;1;0-4;Feb
914;201802;Y;7;Oct-19;Feb
915;201803;Y;7;Oct-19;Mar
916;201802;Y;1;0-4;Feb
917;201802;Y;1;0-4;Feb
918;201802;Y;1;0-4;Feb
919;201801;Y;6;05-Sep;Jan
920;201803;Y;1;0-4;Mar
921;201801;Y;1;0-4;Jan
922;201801;Y;6;05-Sep;Jan
923;201801;Y;1;0-4;Jan
924;201801;Y;6;05-Sep;Jan
925;201801;Y;6;05-Sep;Jan
926;201804;Y;1;0-4;Apr
927;201802;Y;6;05-Sep;Feb
928;201803;Y;1;0-4;Mar
929;201804;Y;1;0-4;Apr
930;201804;Y;1;0-4;Apr
931;201801;Y;1;0-4;Jan
932;201804;Y;1;0-4;Apr
933;201801;Y;6;05-Sep;Jan
934;201804;Y;6;05-Sep;Apr
935;201801;Y;6;05-Sep;Jan
936;201803;Y;6;05-Sep;Mar
937;201801;Y;6;05-Sep;Jan
938;201803;Y;1;0-4;Mar
939;201802;Y;6;05-Sep;Feb
940;201801;Y;6;05-Sep;Jan
941;201803;Y;6;05-Sep;Mar
942;201801;Y;6;05-Sep;Jan
943;201801;Y;6;05-Sep;Jan
944;201801;Y;7;Oct-19;Jan
945;201802;Y;1;0-4;Feb
946;201801;Y;6;05-Sep;Jan
947;201801;Y;1;0-4;Jan
948;201801;Y;6;05-Sep;Jan
949;201801;Y;6;05-Sep;Jan
950;201802;Y;1;0-4;Feb
951;201802;Y;1;0-4;Feb
952;201801;Y;6;05-Sep;Jan
953;201801;Y;6;05-Sep;Jan
954;201804;Y;1;0-4;Apr
955;201804;Y;1;0-4;Apr
956;201804;Y;1;0-4;Apr
957;201801;Y;6;05-Sep;Jan
958;201804;Y;1;0-4;Apr
959;201801;Y;1;0-4;Jan
960;201801;Y;6;05-Sep;Jan
961;201804;Y;1;0-4;Apr
962;201801;Y;7;Oct-19;Jan
963;201803;Y;6;05-Sep;Mar
964;201801;Y;6;05-Sep;Jan
965;201803;Y;1;0-4;Mar
966;201801;Y;1;0-4;Jan
967;201801;Y;1;0-4;Jan
968;201804;Y;1;0-4;Apr
969;201801;Y;7;Oct-19;Jan
970;201804;Y;1;0-4;Apr
971;201801;Y;1;0-4;Jan
972;201801;Y;1;0-4;Jan
973;201803;Y;1;0-4;Mar
974;201804;Y;1;0-4;Apr
975;201802;Y;1;0-4;Feb
976;201804;Y;1;0-4;Apr
977;201802;Y;1;0-4;Feb
978;201801;Y;1;0-4;Jan
979;201802;Y;1;0-4;Feb
980;201802;Y;1;0-4;Feb
981;201803;Y;1;0-4;Mar
982;201802;Y;1;0-4;Feb
983;201801;Y;6;05-Sep;Jan
984;201804;Y;6;05-Sep;Apr
985;201803;Y;1;0-4;Mar
986;201801;Y;6;05-Sep;Jan
987;201803;Y;6;05-Sep;Mar
988;201804;Y;1;0-4;Apr
989;201801;Y;1;0-4;Jan
990;201801;Y;6;05-Sep;Jan
991;201801;Y;6;05-Sep;Jan
992;201804;Y;1;0-4;Apr
993;201804;Y;1;0-4;Apr
994;201801;Y;6;05-Sep;Jan
995;201801;Y;6;05-Sep;Jan
996;201802;Y;1;0-4;Feb
997;201803;Y;1;0-4;Mar
998;201804;Y;1;0-4;Apr
999;201802;Y;1;0-4;Feb
1000;201801;Y;1;0-4;Jan
1001;201801;Y;1;0-4;Jan
1002;201801;Y;1;0-4;Jan
1003;201801;Y;6;05-Sep;Jan
1004;201801;Y;1;0-4;Jan
1005;201801;Y;1;0-4;Jan
1006;201802;Y;1;0-4;Feb
1007;201801;Y;7;Oct-19;Jan
1008;201801;Y;1;0-4;Jan
1009;201804;Y;1;0-4;Apr
1010;201803;Y;1;0-4;Mar
1011;201802;Y;1;0-4;Feb
1012;201801;Y;7;Oct-19;Jan
1013;201803;Y;6;05-Sep;Mar
1014;201804;Y;1;0-4;Apr
1015;201801;Y;6;05-Sep;Jan
1016;201803;Y;1;0-4;Mar
1017;201803;Y;1;0-4;Mar
1018;201801;Y;7;Oct-19;Jan
1019;201802;Y;1;0-4;Feb
1020;201803;Y;1;0-4;Mar
1021;201804;Y;1;0-4;Apr
1022;201803;Y;6;05-Sep;Mar
1023;201801;Y;6;05-Sep;Jan
1024;201803;Y;6;05-Sep;Mar
1025;201801;Y;7;Oct-19;Jan
1026;201801;Y;6;05-Sep;Jan
1027;201802;Y;1;0-4;Feb
1028;201803;Y;1;0-4;Mar
1029;201801;Y;7;Oct-19;Jan
1030;201803;Y;6;05-Sep;Mar
1031;201804;Y;1;0-4;Apr
1032;201801;Y;6;05-Sep;Jan
1033;201804;Y;1;0-4;Apr
1034;201803;Y;1;0-4;Mar
1035;201803;Y;1;0-4;Mar
1036;201803;Y;6;05-Sep;Mar
1037;201804;Y;1;0-4;Apr
1038;201801;Y;1;0-4;Jan
1039;201804;Y;6;05-Sep;Apr
1040;201802;Y;1;0-4;Feb
1041;201804;Y;6;05-Sep;Apr
1042;201802;Y;6;05-Sep;Feb
1043;201804;Y;1;0-4;Apr
1044;201803;Y;1;0-4;Mar
1045;201801;Y;1;0-4;Jan
1046;201802;Y;1;0-4;Feb
1047;201801;Y;7;Oct-19;Jan
1048;201803;Y;1;0-4;Mar
1049;201801;Y;1;0-4;Jan
1050;201803;Y;1;0-4;Mar
1051;201801;Y;7;Oct-19;Jan
1052;201802;Y;1;0-4;Feb
1053;201801;Y;6;05-Sep;Jan
1054;201801;Y;7;Oct-19;Jan
1055;201804;Y;1;0-4;Apr
1056;201802;Y;1;0-4;Feb
1057;201804;Y;1;0-4;Apr
1058;201802;Y;1;0-4;Feb
1059;201804;Y;1;0-4;Apr
1060;201802;Y;1;0-4;Feb
1061;201801;Y;1;0-4;Jan
1062;201804;Y;1;0-4;Apr
1063;201804;Y;6;05-Sep;Apr
1064;201804;Y;1;0-4;Apr
1065;201801;Y;6;05-Sep;Jan
1066;201801;Y;6;05-Sep;Jan
1067;201804;Y;1;0-4;Apr
1068;201802;Y;1;0-4;Feb
1069;201804;Y;1;0-4;Apr
1070;201804;Y;1;0-4;Apr
1071;201801;Y;6;05-Sep;Jan
1072;201801;Y;1;0-4;Jan
1073;201801;Y;6;05-Sep;Jan
1074;201801;Y;6;05-Sep;Jan
1075;201801;Y;1;0-4;Jan
1076;201802;Y;1;0-4;Feb
1077;201801;Y;1;0-4;Jan
1078;201801;Y;6;05-Sep;Jan
1079;201804;Y;1;0-4;Apr
1080;201801;Y;1;0-4;Jan
1081;201802;Y;1;0-4;Feb
1082;201801;Y;1;0-4;Jan
1083;201801;Y;6;05-Sep;Jan
1084;201801;Y;1;0-4;Jan
1085;201804;Y;6;05-Sep;Apr
1086;201804;Y;1;0-4;Apr
1087;201801;Y;6;05-Sep;Jan
1088;201803;Y;1;0-4;Mar
1089;201803;Y;1;0-4;Mar
1090;201804;Y;6;05-Sep;Apr
1091;201803;Y;1;0-4;Mar
1092;201801;Y;6;05-Sep;Jan
1093;201801;Y;1;0-4;Jan
1094;201804;Y;1;0-4;Apr
1095;201804;Y;1;0-4;Apr
1096;201804;Y;1;0-4;Apr
1097;201801;Y;6;05-Sep;Jan
1098;201803;Y;1;0-4;Mar
1099;201804;Y;1;0-4;Apr
1100;201802;Y;6;05-Sep;Feb
1101;201803;Y;1;0-4;Mar
1102;201803;Y;1;0-4;Mar
1103;201801;Y;1;0-4;Jan
1104;201803;Y;1;0-4;Mar
1105;201802;Y;1;0-4;Feb
1106;201802;Y;1;0-4;Feb
1107;201803;Y;1;0-4;Mar
1108;201804;Y;1;0-4;Apr
1109;201801;Y;6;05-Sep;Jan
1110;201801;Y;6;05-Sep;Jan
1111;201802;Y;1;0-4;Feb
1112;201801;Y;6;05-Sep;Jan
1113;201801;Y;1;0-4;Jan
1114;201803;Y;1;0-4;Mar
1115;201801;Y;7;Oct-19;Jan
1116;201801;Y;1;0-4;Jan
1117;201802;Y;1;0-4;Feb
1118;201803;Y;1;0-4;Mar
1119;201801;Y;1;0-4;Jan
1120;201804;Y;1;0-4;Apr
1121;201803;Y;1;0-4;Mar
1122;201801;Y;1;0-4;Jan
1123;201804;Y;6;05-Sep;Apr
1124;201804;Y;6;05-Sep;Apr
1125;201801;Y;1;0-4;Jan
1126;201803;Y;1;0-4;Mar
1127;201803;Y;1;0-4;Mar
1128;201804;Y;1;0-4;Apr
1129;201803;Y;1;0-4;Mar
1130;201801;Y;6;05-Sep;Jan
1131;201803;Y;1;0-4;Mar
1132;201803;Y;6;05-Sep;Mar
1133;201801;Y;7;Oct-19;Jan
1134;201801;Y;6;05-Sep;Jan
1135;201802;Y;1;0-4;Feb
1136;201801;Y;6;05-Sep;Jan
1137;201801;Y;6;05-Sep;Jan
1138;201801;Y;6;05-Sep;Jan
1139;201804;Y;6;05-Sep;Apr
1140;201803;Y;6;05-Sep;Mar
1141;201801;Y;6;05-Sep;Jan
1142;201801;Y;7;Oct-19;Jan
1143;201801;Y;6;05-Sep;Jan
1144;201802;Y;6;05-Sep;Feb
1145;201801;Y;6;05-Sep;Jan
1146;201801;Y;6;05-Sep;Jan
1147;201804;Y;1;0-4;Apr
1148;201804;Y;1;0-4;Apr
1149;201803;Y;1;0-4;Mar
1150;201801;Y;6;05-Sep;Jan
1151;201801;Y;6;05-Sep;Jan
1152;201801;Y;6;05-Sep;Jan
1153;201804;Y;1;0-4;Apr
1154;201801;Y;7;Oct-19;Jan
1155;201804;Y;7;Oct-19;Apr
1156;201801;Y;1;0-4;Jan
1157;201801;Y;7;Oct-19;Jan
1158;201803;Y;1;0-4;Mar
1159;201801;Y;7;Oct-19;Jan
1160;201802;Y;6;05-Sep;Feb
1161;201803;Y;1;0-4;Mar
1162;201802;Y;1;0-4;Feb
1163;201802;Y;1;0-4;Feb
1164;201803;Y;1;0-4;Mar
1165;201801;Y;1;0-4;Jan
1166;201804;Y;1;0-4;Apr
1167;201801;Y;6;05-Sep;Jan
1168;201804;Y;1;0-4;Apr
1169;201801;Y;7;Oct-19;Jan
1170;201802;Y;7;Oct-19;Feb
1171;201803;Y;1;0-4;Mar
1172;201802;Y;1;0-4;Feb
1173;201802;Y;1;0-4;Feb
1174;201803;Y;6;05-Sep;Mar
1175;201801;Y;6;05-Sep;Jan
1176;201801;Y;1;0-4;Jan
1177;201804;Y;7;Oct-19;Apr
1178;201801;Y;6;05-Sep;Jan
1179;201804;Y;6;05-Sep;Apr
1180;201801;Y;6;05-Sep;Jan
1181;201804;Y;1;0-4;Apr
1182;201804;Y;6;05-Sep;Apr
1183;201801;Y;1;0-4;Jan
1184;201804;Y;6;05-Sep;Apr
1185;201803;Y;6;05-Sep;Mar
1186;201801;Y;6;05-Sep;Jan
1187;201803;Y;1;0-4;Mar
1188;201801;Y;6;05-Sep;Jan
1189;201801;Y;6;05-Sep;Jan
1190;201801;Y;6;05-Sep;Jan
1191;201802;Y;1;0-4;Feb
1192;201803;Y;1;0-4;Mar
1193;201801;Y;6;05-Sep;Jan
1194;201804;Y;1;0-4;Apr
1195;201804;Y;1;0-4;Apr
1196;201802;Y;1;0-4;Feb
1197;201801;Y;6;05-Sep;Jan
1198;201803;Y;1;0-4;Mar
1199;201801;Y;1;0-4;Jan
1200;201801;Y;6;05-Sep;Jan
1201;201801;Y;6;05-Sep;Jan
1202;201802;Y;1;0-4;Feb
1203;201804;Y;1;0-4;Apr
1204;201802;Y;1;0-4;Feb
1205;201803;Y;1;0-4;Mar
1206;201801;Y;6;05-Sep;Jan
1207;201801;Y;1;0-4;Jan
1208;201803;Y;6;05-Sep;Mar
1209;201801;Y;1;0-4;Jan
1210;201802;Y;1;0-4;Feb
1211;201803;Y;6;05-Sep;Mar
1212;201803;Y;1;0-4;Mar
1213;201801;Y;1;0-4;Jan
1214;201804;Y;1;0-4;Apr
1215;201801;Y;1;0-4;Jan
1216;201803;Y;1;0-4;Mar
1217;201801;Y;1;0-4;Jan
1218;201801;Y;6;05-Sep;Jan
1219;201801;Y;6;05-Sep;Jan
1220;201802;Y;6;05-Sep;Feb
1221;201803;Y;1;0-4;Mar
1222;201801;Y;6;05-Sep;Jan
1223;201801;Y;1;0-4;Jan
1224;201801;Y;7;Oct-19;Jan
1225;201801;Y;1;0-4;Jan
1226;201801;Y;6;05-Sep;Jan
1227;201804;Y;1;0-4;Apr
1228;201804;Y;1;0-4;Apr
1229;201801;Y;7;Oct-19;Jan
1230;201801;Y;6;05-Sep;Jan
1231;201801;Y;1;0-4;Jan
1232;201803;Y;1;0-4;Mar
1233;201801;Y;6;05-Sep;Jan
1234;201802;Y;1;0-4;Feb
1235;201801;Y;7;Oct-19;Jan
1236;201801;Y;1;0-4;Jan
1237;201801;Y;1;0-4;Jan
1238;201801;Y;6;05-Sep;Jan
1239;201803;Y;1;0-4;Mar
1240;201802;Y;6;05-Sep;Feb
1241;201802;Y;6;05-Sep;Feb
1242;201804;Y;1;0-4;Apr
1243;201804;Y;1;0-4;Apr
1244;201801;Y;6;05-Sep;Jan
1245;201804;Y;1;0-4;Apr
1246;201804;Y;1;0-4;Apr
1247;201803;Y;1;0-4;Mar
1248;201801;Y;6;05-Sep;Jan
1249;201803;Y;6;05-Sep;Mar
1250;201801;Y;1;0-4;Jan
1251;201803;Y;1;0-4;Mar
1252;201803;Y;1;0-4;Mar
1253;201801;Y;6;05-Sep;Jan
1254;201803;Y;1;0-4;Mar
1255;201801;Y;1;0-4;Jan
1256;201801;Y;6;05-Sep;Jan
1257;201804;Y;7;Oct-19;Apr
1258;201803;Y;1;0-4;Mar
1259;201802;Y;1;0-4;Feb
